id,icon_svg_url,created_at,updated_at,name,icon_url,category,activity_type_internal_name,has_gps,is_current,has_survey
86,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/skateboarding.svg,2019-08-16T22:52:24.966+0000,2022-06-03T20:06:46.632+0000,Skateboarding,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/skateboarding.png,cardiovascular,,True,True,True
29,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/skiing.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:46.653+0000,Skiing,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/skiing.png,non-cardiovascular,,True,True,True
91,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/snowboarding.svg,2020-05-05T21:39:20.523+0000,2022-06-03T20:06:46.670+0000,Snowboarding,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/snowboarding.png,cardiovascular,,True,True,True
30,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/soccer.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:46.687+0000,Soccer,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/soccer.png,cardiovascular,,False,True,True
31,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/softball.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:46.705+0000,Softball,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/softball.png,non-cardiovascular,,False,True,True
104,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/spikeball.svg,2021-03-18T17:22:06.061+0000,2022-06-03T20:06:46.720+0000,Spikeball,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/spikeball.png,cardiovascular,,False,True,True
97,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/spin.svg,2020-10-01T20:12:02.307+0000,2022-06-03T20:06:46.737+0000,Spin,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/spin.png,cardiovascular,,False,True,True
32,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/squash.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:46.766+0000,Squash,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/squash.png,cardiovascular,,False,True,True
108,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/stage-performance.svg,2021-06-03T19:15:53.966+0000,2022-06-03T20:06:46.784+0000,Stage Performance,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/stage-performance.png,non-cardiovascular,,False,True,False
66,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/stairmaster.svg,2014-06-20T18:41:51.246+0000,2022-06-03T20:06:46.799+0000,Stairmaster,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/stairmaster.png,cardiovascular,,False,True,True
128,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/stretching.svg,2022-04-25T15:03:00.451+0000,2022-04-25T16:24:37.828+0000,Stretching,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/stretching.png,restorative,stretching,False,True,False
64,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/surfing.svg,2014-06-20T18:41:51.246+0000,2022-06-03T20:06:46.820+0000,Surfing,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/surfing.png,cardiovascular,,False,True,True
33,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/swimming_diving.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:46.835+0000,Swimming,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/swimming_diving.png,cardiovascular,,True,True,True
34,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/tennis.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:46.852+0000,Tennis,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/tennis.png,cardiovascular,,False,True,True
35,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/track_and_field.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:46.868+0000,Track & Field,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/track_and_field.png,cardiovascular,,True,True,True
62,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/triathlon.svg,2014-06-04T21:52:07.712+0000,2022-06-03T20:06:46.883+0000,Triathlon,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/triathlon.png,cardiovascular,,True,True,True
82,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/ultimate_frisbee.svg,2018-01-09T19:36:14.598+0000,2022-06-03T20:06:46.897+0000,Ultimate,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/ultimate_frisbee.png,cardiovascular,,False,True,True
36,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/volleyball.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:46.912+0000,Volleyball,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/volleyball.png,cardiovascular,,False,True,True
63,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/walking.svg,2014-06-04T21:52:07.712+0000,2022-06-03T20:06:46.928+0000,Walking,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/walking.png,non-cardiovascular,,True,True,True
125,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/spectating.svg,2022-04-25T15:00:57.418+0000,2022-06-03T20:06:46.945+0000,Watching Sports,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/spectating.png,non-cardiovascular,,False,True,False
37,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/water_polo.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:46.959+0000,Water Polo,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/water_polo.png,cardiovascular,,False,True,True
45,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/weightlifting.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:46.976+0000,Weightlifting,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/weightlifting.png,muscular,,False,True,False
105,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/wheelchair_pushing.svg,2021-03-18T17:22:06.061+0000,2022-06-03T20:06:46.991+0000,Wheelchair Pushing,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/wheelchair_pushing.png,cardiovascular,,True,True,True
38,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/wrestling.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:47.008+0000,Wrestling,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/wrestling.png,cardiovascular,,False,True,True
44,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/yoga.svg,2014-02-11T10:07:16.000+0000,2022-06-03T20:06:47.035+0000,Yoga,https://s3-us-west-2.amazonaws.com/icons.whoop.com/mobile/activities/yoga.png,non-cardiovascular,,False,True,True
